"id" ;"ari_text" ;"score" ;"characters_count" ;"coleman_liau_text" ;"complexwords_text" ;"flesch_kincaid_text" ;"flesch_reading_text" ;"gunning_fog_text" ;"sentences_text" ;"smog_index_text" ;"smog_text" ;"syllables_text" ;"words_text" ;"good" ;"total_links" ;"doicount" ;"selfreferencecount" ;"wikipediacount" ;"naturecount" ;"comm_name"
2,122 ;7.266 ;14 ;935 ;8.696 ;30 ;8.645 ;62.679 ;11.6 ;13 ;11.321 ;11.807 ;325 ;216 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,124 ;5.905 ;13 ;742 ;7.317 ;22 ;7.087 ;70.08 ;10.4 ;12 ;10.416 ;10.864 ;251 ;174 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,126 ;6.717 ;13 ;386 ;8.333 ;6 ;7.155 ;69.593 ;8 ;6 ;8.477 ;8.842 ;126 ;87 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,127 ;4.363 ;17 ;157 ;6.535 ;3 ;5.808 ;75.984 ;7.6 ;3 ;8.477 ;8.842 ;53 ;38 ;yes ;1 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,128 ;11.804 ;13 ;1,592 ;10.379 ;62 ;12.397 ;47.149 ;16 ;15 ;14.136 ;14.743 ;556 ;345 ;yes ;5 ;1 ;0 ;0 ;0 ;biology.stackexchange.com
2,129 ;14.386 ;13 ;864 ;12.447 ;39 ;14.042 ;38.66 ;18.4 ;7 ;15.928 ;16.613 ;294 ;174 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,131 ;8.465 ;14 ;515 ;7.662 ;13 ;9.789 ;61.687 ;12 ;6 ;11.062 ;11.538 ;182 ;124 ;yes ;1 ;0 ;0 ;1 ;0 ;biology.stackexchange.com
2,132 ;7.393 ;11 ;835 ;9.5 ;24 ;8.598 ;61.177 ;10.8 ;12 ;10.746 ;11.208 ;287 ;187 ;yes ;3 ;1 ;0 ;0 ;0 ;biology.stackexchange.com
2,133 ;9.186 ;12 ;754 ;9.953 ;25 ;10.512 ;52.55 ;13.2 ;9 ;12.129 ;12.65 ;266 ;166 ;yes ;2 ;2 ;0 ;0 ;0 ;biology.stackexchange.com
2,137 ;9.947 ;14 ;1,329 ;10.475 ;50 ;10.703 ;52.408 ;14.4 ;15 ;13 ;13.559 ;458 ;287 ;yes ;1 ;1 ;0 ;0 ;0 ;biology.stackexchange.com
