"id" ;"ari_text" ;"score" ;"characters_count" ;"coleman_liau_text" ;"complexwords_text" ;"flesch_kincaid_text" ;"flesch_reading_text" ;"gunning_fog_text" ;"sentences_text" ;"smog_index_text" ;"smog_text" ;"syllables_text" ;"words_text" ;"good" ;"total_links" ;"comm_name"
38,134 ;11.3 ;30 ;406 ;10.374 ;16 ;12.299 ;46.069 ;16 ;4 ;13.954 ;14.555 ;144 ;88 ;yes ;1 ;chemistry.stackexchange.com
38,135 ;8.559 ;20 ;925 ;5.258 ;25 ;10.716 ;62.228 ;13.6 ;10 ;11.66 ;12.162 ;349 ;247 ;yes ;1 ;chemistry.stackexchange.com
38,141 ;10.826 ;14 ;388 ;10.406 ;12 ;13.11 ;38.477 ;14 ;4 ;12.487 ;13.024 ;146 ;84 ;yes ;2 ;chemistry.stackexchange.com
38,144 ;6.597 ;14 ;372 ;8.599 ;10 ;8.429 ;59.269 ;10 ;6 ;10.071 ;10.504 ;131 ;83 ;yes ;0 ;chemistry.stackexchange.com
38,145 ;8.8 ;9 ;361 ;7.091 ;10 ;10.721 ;57.827 ;13.2 ;4 ;11.66 ;12.162 ;133 ;89 ;yes ;0 ;chemistry.stackexchange.com
38,154 ;12.489 ;32 ;1,289 ;8.677 ;53 ;13.665 ;45.34 ;17.6 ;11 ;15.023 ;15.669 ;472 ;298 ;yes ;5 ;chemistry.stackexchange.com
38,155 ;8.285 ;21 ;4,131 ;10.356 ;166 ;9.509 ;55.386 ;13.6 ;56 ;12.43 ;12.965 ;1,432 ;896 ;yes ;1 ;chemistry.stackexchange.com
38,156 ;12.368 ;1 ;651 ;11.188 ;30 ;12.867 ;43.483 ;17.2 ;6 ;15.247 ;15.903 ;227 ;137 ;yes ;0 ;chemistry.stackexchange.com
38,157 ;13.305 ;7 ;1,163 ;11.506 ;54 ;14.425 ;34.746 ;18.4 ;10 ;15.728 ;16.404 ;422 ;242 ;yes ;1 ;chemistry.stackexchange.com
38,160 ;10.652 ;10 ;582 ;9.981 ;17 ;11.352 ;51.672 ;13.6 ;6 ;12.22 ;12.745 ;202 ;128 ;yes ;1 ;chemistry.stackexchange.com
38,163 ;7.763 ;5 ;428 ;10.847 ;21 ;10.365 ;43.141 ;14 ;7 ;12.487 ;13.024 ;157 ;88 ;yes ;0 ;chemistry.stackexchange.com
38,164 ;12.334 ;3 ;1,051 ;8.262 ;44 ;12.933 ;51.223 ;17.6 ;9 ;15.111 ;15.76 ;373 ;247 ;yes ;0 ;chemistry.stackexchange.com
38,165 ;20.681 ;19 ;2,520 ;5.017 ;53 ;20.16 ;41.235 ;22.8 ;14 ;13.657 ;14.244 ;960 ;713 ;yes ;0 ;chemistry.stackexchange.com
38,166 ;18.021 ;7 ;660 ;9.775 ;23 ;16.93 ;41.365 ;21.2 ;4 ;16.134 ;16.828 ;228 ;152 ;yes ;5 ;chemistry.stackexchange.com
38,167 ;9.724 ;19 ;1,438 ;11.911 ;52 ;11.282 ;43.369 ;13.2 ;18 ;12.309 ;12.839 ;512 ;295 ;yes ;1 ;chemistry.stackexchange.com
38,168 ;8.969 ;10 ;817 ;11.722 ;36 ;11.353 ;37.861 ;14 ;12 ;12.487 ;13.024 ;299 ;163 ;yes ;0 ;chemistry.stackexchange.com
38,169 ;7.144 ;16 ;551 ;9.163 ;20 ;9.101 ;57.646 ;12.4 ;8 ;11.66 ;12.162 ;197 ;125 ;yes ;0 ;chemistry.stackexchange.com
38,171 ;16.261 ;9 ;1,637 ;10.472 ;39 ;15.363 ;44.342 ;17.2 ;11 ;13.313 ;13.886 ;558 ;367 ;yes ;0 ;chemistry.stackexchange.com
38,172 ;11.266 ;27 ;6,514 ;8.609 ;201 ;12.022 ;52.961 ;14.8 ;61 ;12.942 ;13.499 ;2,298 ;1,510 ;yes ;9 ;chemistry.stackexchange.com
38,173 ;6 ;12 ;575 ;5.778 ;10 ;7.299 ;76.132 ;9.6 ;8 ;9.124 ;9.516 ;198 ;150 ;yes ;4 ;chemistry.stackexchange.com
38,181 ;12.797 ;16 ;955 ;8.885 ;36 ;13.406 ;47.707 ;17.2 ;8 ;14.619 ;15.248 ;340 ;219 ;yes ;0 ;chemistry.stackexchange.com
38,182 ;9.732 ;4 ;593 ;6.641 ;15 ;10.33 ;65.233 ;13.6 ;6 ;11.66 ;12.162 ;205 ;149 ;yes ;0 ;chemistry.stackexchange.com
38,183 ;15.382 ;10 ;2,564 ;9.496 ;105 ;16.182 ;38.123 ;20 ;18 ;16.229 ;16.927 ;953 ;597 ;yes ;10 ;chemistry.stackexchange.com
38,186 ;8.062 ;6 ;414 ;9.91 ;14 ;9.439 ;53.512 ;11.6 ;6 ;11.367 ;11.855 ;144 ;88 ;yes ;2 ;chemistry.stackexchange.com
38,189 ;77.003 ;6 ;586 ;5.375 ;12 ;62.748 ;-64.49 ;68 ;1 ;21.974 ;22.919 ;204 ;163 ;yes ;4 ;chemistry.stackexchange.com
38,190 ;12.995 ;53 ;861 ;7.938 ;9 ;12.179 ;59.908 ;13.2 ;7 ;9.211 ;9.607 ;284 ;205 ;yes ;3 ;chemistry.stackexchange.com
38,192 ;17.269 ;6 ;749 ;13.211 ;36 ;17.309 ;23.333 ;21.2 ;5 ;17.697 ;18.458 ;267 ;147 ;yes ;1 ;chemistry.stackexchange.com
38,193 ;11.46 ;22 ;1,963 ;10.277 ;60 ;11.607 ;51.874 ;14.4 ;19 ;12.733 ;13.281 ;667 ;427 ;yes ;0 ;chemistry.stackexchange.com
