"id_answer" ;"good" ;"community" ;"reviews" ;"retention"
38,342 ;yes ;chemistry.stackexchange.com ;766,545 ;160,062,603.11
38,382 ;yes ;chemistry.stackexchange.com ;314,726 ;159,977,637.76
38,255 ;yes ;chemistry.stackexchange.com ;472,820 ;156,746,374.843
38,437 ;yes ;chemistry.stackexchange.com ;497,986 ;155,694,314.337
38,196 ;yes ;chemistry.stackexchange.com ;512,839 ;155,647,220.767
38,534 ;yes ;chemistry.stackexchange.com ;1,392,506 ;153,799,754.984
38,593 ;yes ;chemistry.stackexchange.com ;313,582 ;153,798,246.654
38,536 ;yes ;chemistry.stackexchange.com ;316,359 ;153,791,507.567
38,546 ;yes ;chemistry.stackexchange.com ;1,788,971 ;153,648,338.694
38,822 ;yes ;chemistry.stackexchange.com ;350,301 ;152,512,101.906
38,523 ;yes ;chemistry.stackexchange.com ;850,157 ;152,318,266.133
38,859 ;yes ;chemistry.stackexchange.com ;931,400 ;150,716,011.076
38,829 ;yes ;chemistry.stackexchange.com ;302,845 ;149,736,391.506
38,620 ;yes ;chemistry.stackexchange.com ;572,988 ;147,735,175.19
39,121 ;yes ;chemistry.stackexchange.com ;360,161 ;147,084,137.53
39,009 ;yes ;chemistry.stackexchange.com ;746,570 ;146,042,551.247
38,677 ;yes ;chemistry.stackexchange.com ;900,030 ;145,990,078.09
38,997 ;yes ;chemistry.stackexchange.com ;426,407 ;145,036,303.97
39,093 ;yes ;chemistry.stackexchange.com ;693,658 ;144,283,005.433
39,095 ;yes ;chemistry.stackexchange.com ;301,334 ;144,271,176.824
38,537 ;yes ;chemistry.stackexchange.com ;417,709 ;144,226,572.213
38,796 ;yes ;chemistry.stackexchange.com ;448,023 ;142,862,096.007
39,361 ;yes ;chemistry.stackexchange.com ;635,718 ;142,802,992.3
38,522 ;yes ;chemistry.stackexchange.com ;1,007,537 ;142,757,523.506
38,838 ;yes ;chemistry.stackexchange.com ;413,076 ;142,212,990.853
38,768 ;yes ;chemistry.stackexchange.com ;281,311 ;141,445,091.584
38,899 ;yes ;chemistry.stackexchange.com ;332,723 ;141,104,679.337
38,905 ;yes ;chemistry.stackexchange.com ;327,399 ;141,028,275.487
38,582 ;yes ;chemistry.stackexchange.com ;603,599 ;140,133,058.79
39,462 ;yes ;chemistry.stackexchange.com ;333,046 ;138,981,019.353
39,464 ;yes ;chemistry.stackexchange.com ;301,314 ;138,962,550.32
39,793 ;yes ;chemistry.stackexchange.com ;942,600 ;138,071,906.82
38,134 ;yes ;chemistry.stackexchange.com ;578,510 ;138,025,006.38
39,783 ;yes ;chemistry.stackexchange.com ;915,304 ;137,863,687.494
38,610 ;yes ;chemistry.stackexchange.com ;435,643 ;137,499,866.254
39,454 ;yes ;chemistry.stackexchange.com ;928,932 ;136,838,359.57
39,027 ;yes ;chemistry.stackexchange.com ;661,187 ;136,625,602.174
39,028 ;yes ;chemistry.stackexchange.com ;281,749 ;136,603,519.84
38,674 ;yes ;chemistry.stackexchange.com ;565,665 ;136,536,271.936
39,718 ;yes ;chemistry.stackexchange.com ;770,364 ;135,481,401.597
39,712 ;yes ;chemistry.stackexchange.com ;329,776 ;135,344,399.864
39,777 ;yes ;chemistry.stackexchange.com ;1,074,334 ;133,839,397.74
39,046 ;yes ;chemistry.stackexchange.com ;720,306 ;133,520,699.39
39,858 ;no ;chemistry.stackexchange.com ;445,342 ;133,033,752.8
39,094 ;yes ;chemistry.stackexchange.com ;275,626 ;132,700,393.817
39,863 ;yes ;chemistry.stackexchange.com ;301,296 ;132,441,471.556
39,105 ;no ;chemistry.stackexchange.com ;284,371 ;132,376,717.053
39,866 ;yes ;chemistry.stackexchange.com ;301,297 ;132,343,629.904
39,850 ;yes ;chemistry.stackexchange.com ;299,632 ;132,109,605.977
40,249 ;yes ;chemistry.stackexchange.com ;1,978,877 ;131,829,390.603
39,933 ;yes ;chemistry.stackexchange.com ;302,274 ;131,821,672.104
39,959 ;yes ;chemistry.stackexchange.com ;302,840 ;131,595,151.12
38,984 ;yes ;chemistry.stackexchange.com ;686,076 ;131,160,653.86
40,031 ;yes ;chemistry.stackexchange.com ;445,887 ;130,807,863.714
40,044 ;yes ;chemistry.stackexchange.com ;738,770 ;130,579,125.1
40,148 ;yes ;chemistry.stackexchange.com ;644,541 ;129,182,098.687
40,152 ;yes ;chemistry.stackexchange.com ;730,232 ;128,645,408.126
40,284 ;no ;chemistry.stackexchange.com ;1,157,685 ;127,609,012.833
40,294 ;yes ;chemistry.stackexchange.com ;590,114 ;127,506,508.257
39,308 ;yes ;chemistry.stackexchange.com ;428,638 ;126,251,804.227
39,935 ;yes ;chemistry.stackexchange.com ;429,885 ;125,366,676.793
39,938 ;yes ;chemistry.stackexchange.com ;662,872 ;125,329,745.507
40,466 ;yes ;chemistry.stackexchange.com ;301,339 ;125,298,726.13
40,540 ;yes ;chemistry.stackexchange.com ;673,730 ;125,274,775.616
40,544 ;yes ;chemistry.stackexchange.com ;302,831 ;125,226,546.773
40,549 ;yes ;chemistry.stackexchange.com ;302,828 ;125,213,933.68
40,358 ;yes ;chemistry.stackexchange.com ;1,084,419 ;124,739,759.976
40,030 ;yes ;chemistry.stackexchange.com ;1,147,997 ;124,315,375.853
40,652 ;yes ;chemistry.stackexchange.com ;834,394 ;124,081,056.89
40,657 ;yes ;chemistry.stackexchange.com ;623,658 ;124,044,868.484
40,681 ;yes ;chemistry.stackexchange.com ;1,062,991 ;123,829,825.66
40,018 ;yes ;chemistry.stackexchange.com ;285,428 ;123,651,609.377
40,623 ;yes ;chemistry.stackexchange.com ;1,041,857 ;123,556,618.263
40,659 ;yes ;chemistry.stackexchange.com ;301,330 ;123,520,322.994
41,075 ;yes ;chemistry.stackexchange.com ;1,498,044 ;123,515,867.4
40,733 ;yes ;chemistry.stackexchange.com ;610,437 ;123,387,319.73
40,214 ;yes ;chemistry.stackexchange.com ;1,007,020 ;122,282,875.493
40,959 ;yes ;chemistry.stackexchange.com ;509,622 ;121,925,067.53
38,263 ;yes ;chemistry.stackexchange.com ;756,200 ;121,820,072.633
40,947 ;yes ;chemistry.stackexchange.com ;815,266 ;121,225,479.09
39,130 ;yes ;chemistry.stackexchange.com ;938,118 ;121,193,014.136
39,641 ;yes ;chemistry.stackexchange.com ;423,425 ;121,146,429.5
38,716 ;yes ;chemistry.stackexchange.com ;246,326 ;121,142,459.37
40,955 ;yes ;chemistry.stackexchange.com ;320,727 ;121,128,767.337
39,833 ;yes ;chemistry.stackexchange.com ;1,272,077 ;121,004,256.674
38,486 ;yes ;chemistry.stackexchange.com ;1,448,101 ;120,865,462.747
40,757 ;yes ;chemistry.stackexchange.com ;339,136 ;120,734,699.683
40,960 ;yes ;chemistry.stackexchange.com ;539,649 ;120,541,011.784
39,794 ;yes ;chemistry.stackexchange.com ;277,773 ;120,194,969.42
39,507 ;yes ;chemistry.stackexchange.com ;947,493 ;120,158,086.136
38,772 ;yes ;chemistry.stackexchange.com ;246,870 ;120,100,587.48
41,097 ;yes ;chemistry.stackexchange.com ;321,242 ;119,752,275.996
41,099 ;yes ;chemistry.stackexchange.com ;663,720 ;119,746,922.477
40,197 ;yes ;chemistry.stackexchange.com ;425,334 ;119,572,930.214
41,121 ;yes ;chemistry.stackexchange.com ;321,410 ;119,495,343.27
41,310 ;yes ;chemistry.stackexchange.com ;799,247 ;118,676,780.87
41,158 ;yes ;chemistry.stackexchange.com ;997,561 ;118,658,990.95
41,193 ;yes ;chemistry.stackexchange.com ;321,601 ;118,587,718.314
